"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20190101","2019","52","2019","392","JPN","Japan","X","Export","-2","-2","276,251,380,724,528,752,616,56,40,372,208,246,203,642,620,300,348,703,442,100,191,440,428,233,196,470,705","0","W00","World","GG","GG","true","-2","252310,252321,252329,252390,271600,280800,2814,283421,3102,3105,72,7301,7302,730300,7304,7305,7306,7307,7308,7309,7310,7311,7601,7603,7604,7605,7606,7607,7608,760900","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"true","-1","n/a",,"false","36585765.58099999","true","0","false","0","578214050.4949999","578214050.4949999","0","true","true",
"C","A","20190101","2019","52","2019","704","VNM","Viet Nam","X","Export","-2","-2","276,251,380,724,528,752,616,56,40,372,208,246,203,642,620,300,348,703,442,100,191,440,428,233,196,470,705","0","W00","World","GG","GG","true","-2","252310,252321,252329,252390,271600,280800,2814,283421,3102,3105,72,7301,7302,730300,7304,7305,7306,7307,7308,7309,7310,7311,7601,7603,7604,7605,7606,7607,7608,760900","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"true","-1","n/a",,"false","288870450.9609997","true","0","false",,"439841578.1599999","439841578.1599999","0","true","true",
"C","A","20190101","2019","52","2019","554","NZL","New Zealand","X","Export","-2","-2","276,251,380,724,528,752,616,56,40,372,208,246,203,642,620,300,348,703,442,100,191,440,428,233,196,470,705","0","W00","World","GG","GG","true","-2","252310,252321,252329,252390,271600,280800,2814,283421,3102,3105,72,7301,7302,730300,7304,7305,7306,7307,7308,7309,7310,7311,7601,7603,7604,7605,7606,7607,7608,760900","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"true","-1","n/a",,"false","18262036.331","true","19176099","false","0","45506802.89799998","45506802.89799998","0","true","true",
"C","A","20190101","2019","52","2019","344","HKG","China, Hong Kong SAR","X","Export","-2","-2","276,251,380,724,528,752,616,56,40,372,208,246,203,642,620,300,348,703,442,100,191,440,428,233,196,470,705","0","W00","World","GG","GG","true","-2","252310,252321,252329,252390,271600,280800,2814,283421,3102,3105,72,7301,7302,730300,7304,7305,7306,7307,7308,7309,7310,7311,7601,7603,7604,7605,7606,7607,7608,760900","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","5628380","false","0","false",,"22352967.127000008","22352967.127000008","0","true","true",
"C","A","20190101","2019","52","2019","410","KOR","Rep. of Korea","X","Export","-2","-2","276,251,380,724,528,752,616,56,40,372,208,246,203,642,620,300,348,703,442,100,191,440,428,233,196,470,705","0","W00","World","GG","GG","true","-2","252310,252321,252329,252390,271600,280800,2814,283421,3102,3105,72,7301,7302,730300,7304,7305,7306,7307,7308,7309,7310,7311,7601,7603,7604,7605,7606,7607,7608,760900","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"true","-1","n/a",,"false","182676568.71200004","true","0","false",,"3310221701","3310221701","0","true","true",
"C","A","20190101","2019","52","2019","458","MYS","Malaysia","X","Export","-2","-2","276,251,380,724,528,752,616,56,40,372,208,246,203,642,620,300,348,703,442,100,191,440,428,233,196,470,705","0","W00","World","GG","GG","true","-2","252310,252321,252329,252390,271600,280800,2814,283421,3102,3105,72,7301,7302,730300,7304,7305,7306,7307,7308,7309,7310,7311,7601,7603,7604,7605,7606,7607,7608,760900","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"false","-1","n/a",,"false","190118375.29","false","0","false","0","561695623.2490002","561695623.2490002","0","false","true",
"C","A","20190101","2019","52","2019","764","THA","Thailand","X","Export","-2","-2","276,251,380,724,528,752,616,56,40,372,208,246,203,642,620,300,348,703,442,100,191,440,428,233,196,470,705","0","W00","World","GG","GG","true","-2","252310,252321,252329,252390,271600,280800,2814,283421,3102,3105,72,7301,7302,730300,7304,7305,7306,7307,7308,7309,7310,7311,7601,7603,7604,7605,7606,7607,7608,760900","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"true","-1","n/a",,"false","20320386.000000004","true","0","false",,"157027242.93999994","157027242.93999994","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","-2","-2","276,251,380,724,528,752,616,56,40,372,208,246,203,642,620,300,348,703,442,100,191,440,428,233,196,470,705","0","W00","World","GG","GG","true","-2","252310,252321,252329,252390,271600,280800,2814,283421,3102,3105,72,7301,7302,730300,7304,7305,7306,7307,7308,7309,7310,7311,7601,7603,7604,7605,7606,7607,7608,760900","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"true","-1","n/a",,"false","6215547.965","true","6166489.949999998","false","0","57917391.782000005","57917391.782000005","0","false","true",
"C","A","20190101","2019","52","2019","608","PHL","Philippines","X","Export","-2","-2","276,251,380,724,528,752,616,56,40,372,208,246,203,642,620,300,348,703,442,100,191,440,428,233,196,470,705","0","W00","World","GG","GG","true","-2","252310,252321,252329,252390,271600,280800,2814,283421,3102,3105,72,7301,7302,730300,7304,7305,7306,7307,7308,7309,7310,7311,7601,7603,7604,7605,7606,7607,7608,760900","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"true","-1","n/a",,"false","698868.321","true","695638.43","false","0","2527645","2527645","0","true","true",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","-2","-2","276,251,380,724,528,752,616,56,40,372,208,246,203,642,620,300,348,703,442,100,191,440,428,233,196,470,705","0","W00","World","GG","GG","true","-2","252310,252321,252329,252390,271600,280800,2814,283421,3102,3105,72,7301,7302,730300,7304,7305,7306,7307,7308,7309,7310,7311,7601,7603,7604,7605,7606,7607,7608,760900","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","n/a",,"true","-1","n/a",,"false","22119052.797000006","true","0","false",,"66992457.58900001","66992457.58900001","0","true","true",
