"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","56","BEL","Belgium","0","W00","World","H5","HS","true","252310","Cement clinkers (whether or not coloured)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","777000","false","8","kg","777000","false","777000","false","0","false","0","218985","218985","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","251","FRA","France","0","W00","World","H5","HS","true","252310","Cement clinkers (whether or not coloured)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4084863","false","8","kg","4084863","false","4084863","false","0","false","0","1409588","1409588","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","252310","Cement clinkers (whether or not coloured)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","21630","false","8","kg","21630","false","21630","false","0","false","0","7997","7997","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","380","ITA","Italy","0","W00","World","H5","HS","true","252310","Cement clinkers (whether or not coloured)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3087747","false","8","kg","3087747","false","3087747","false","0","false","0","799272","799272","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","252310","Cement clinkers (whether or not coloured)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2055600","false","8","kg","2055600","false","2055600","false","0","false","0","896939","896939","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","724","ESP","Spain","0","W00","World","H5","HS","true","252310","Cement clinkers (whether or not coloured)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","200000","false","8","kg","200000","false","200000","false","0","false","0","42000","42000","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","752","SWE","Sweden","0","W00","World","H5","HS","true","252310","Cement clinkers (whether or not coloured)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","120000","false","8","kg","120000","false","120000","false","0","false","0","47880","47880","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","56","BEL","Belgium","0","W00","World","H5","HS","true","252321","Cement; portland, white, whether or not artificially coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","888","false","8","kg","888","false","888","false","0","false","0","191","191","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","251","FRA","France","0","W00","World","H5","HS","true","252321","Cement; portland, white, whether or not artificially coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4137","false","8","kg","4137","false","4137","false","0","false","0","863","863","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","252321","Cement; portland, white, whether or not artificially coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7359.379","true","8","kg","7261","false","7359.379","true","0","false","0","5264","5264","6","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","380","ITA","Italy","0","W00","World","H5","HS","true","252321","Cement; portland, white, whether or not artificially coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","73.944","true","8","kg","65","false","73.944","true","0","false","0","359","359","6","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","252321","Cement; portland, white, whether or not artificially coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","35","false","8","kg","35","false","35","false","0","false","0","50","50","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","56","BEL","Belgium","0","W00","World","H5","HS","true","252329","Cement; portland, other than white, whether or not artificially coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","950","false","8","kg","950","false","950","false","0","false","0","475","475","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","252329","Cement; portland, other than white, whether or not artificially coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","412","false","8","kg","412","false","412","false","0","false","0","73","73","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","252329","Cement; portland, other than white, whether or not artificially coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","460","false","8","kg","460","false","460","false","0","false","0","211","211","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","752","SWE","Sweden","0","W00","World","H5","HS","true","252329","Cement; portland, other than white, whether or not artificially coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","600","false","8","kg","600","false","600","false","0","false","0","153","153","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","251","FRA","France","0","W00","World","H5","HS","true","252390","Cement; hydraulic kinds n.e.c. in heading no. 2523","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5025","false","8","kg","5025","false","5025","false","0","false","0","704","704","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","252390","Cement; hydraulic kinds n.e.c. in heading no. 2523","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","250","false","8","kg","250","false","250","false","0","false","0","300","300","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","252390","Cement; hydraulic kinds n.e.c. in heading no. 2523","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3700000","false","8","kg","3700000","false","3700000","false","0","false","0","950520","950520","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","300","GRC","Greece","0","W00","World","H5","HS","true","2814","Ammonia; anhydrous or in aqueous solution","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1200","false","8","kg","1200","false","1200","false","0","false","0","4365","4365","0","false","true",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","56","BEL","Belgium","0","W00","World","H5","HS","true","283421","Nitrates; of potassium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","508000","false","8","kg","508000","false","508000","false","0","false","0","320429","320429","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","251","FRA","France","0","W00","World","H5","HS","true","283421","Nitrates; of potassium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","288000","false","8","kg","288000","false","288000","false","0","false","0","182479","182479","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","283421","Nitrates; of potassium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","168000","false","8","kg","168000","false","168000","false","0","false","0","139260","139260","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","300","GRC","Greece","0","W00","World","H5","HS","true","283421","Nitrates; of potassium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2028625","false","8","kg","2028625","false","2028625","false","0","false","0","1356429","1356429","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","380","ITA","Italy","0","W00","World","H5","HS","true","283421","Nitrates; of potassium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3374000","false","8","kg","3374000","false","3374000","false","0","false","0","2300607","2300607","0","true","false",
"C","A","20190101","2019","52","2019","156","CHN","China","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","283421","Nitrates; of potassium","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","216000","false","8","kg","216000","false","216000","false","0","false","0","164752","164752","0","true","false",
