"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","3102","Fertilizers; mineral or chemical, nitrogenous","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3","false","8","kg","3","false","3","false","3","false","0","267.639","267.639","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","3105","Fertilizers; mineral or chemical, containing 2 or 3 of the elements nitrogen, phosphorus, potassium; other fertilisers; goods of chapter 31 in tablets or packages of gross weight not exceeding 10kg","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","1","false","0","4729.21","4729.21","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","56","BEL","Belgium","0","W00","World","H5","HS","true","3105","Fertilizers; mineral or chemical, containing 2 or 3 of the elements nitrogen, phosphorus, potassium; other fertilisers; goods of chapter 31 in tablets or packages of gross weight not exceeding 10kg","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","800","false","8","kg","800","false","800","false","898","false","0","2266.934","2266.934","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","251","FRA","France","0","W00","World","H5","HS","true","3105","Fertilizers; mineral or chemical, containing 2 or 3 of the elements nitrogen, phosphorus, potassium; other fertilisers; goods of chapter 31 in tablets or packages of gross weight not exceeding 10kg","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","326.11","false","8","kg","326.11","false","326.11","false","328.57","false","0","2598.528","2598.528","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","3105","Fertilizers; mineral or chemical, containing 2 or 3 of the elements nitrogen, phosphorus, potassium; other fertilisers; goods of chapter 31 in tablets or packages of gross weight not exceeding 10kg","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","469","false","8","kg","469","false","469","false","469","false","0","4956.529","4956.529","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","300","GRC","Greece","0","W00","World","H5","HS","true","3105","Fertilizers; mineral or chemical, containing 2 or 3 of the elements nitrogen, phosphorus, potassium; other fertilisers; goods of chapter 31 in tablets or packages of gross weight not exceeding 10kg","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","125351","false","8","kg","125351","false","125351","false","125651","false","0","412104.477","412104.477","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","380","ITA","Italy","0","W00","World","H5","HS","true","3105","Fertilizers; mineral or chemical, containing 2 or 3 of the elements nitrogen, phosphorus, potassium; other fertilisers; goods of chapter 31 in tablets or packages of gross weight not exceeding 10kg","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","141008.5","false","8","kg","141008.5","false","141008.5","false","141008.5","false","0","180175.749","180175.749","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","3105","Fertilizers; mineral or chemical, containing 2 or 3 of the elements nitrogen, phosphorus, potassium; other fertilisers; goods of chapter 31 in tablets or packages of gross weight not exceeding 10kg","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","91278","false","8","kg","91278","false","91278","false","91278","false","0","203480.474","203480.474","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","620","PRT","Portugal","0","W00","World","H5","HS","true","3105","Fertilizers; mineral or chemical, containing 2 or 3 of the elements nitrogen, phosphorus, potassium; other fertilisers; goods of chapter 31 in tablets or packages of gross weight not exceeding 10kg","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","69100","false","8","kg","69100","false","69100","false","69100","false","0","134632.683","134632.683","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","724","ESP","Spain","0","W00","World","H5","HS","true","3105","Fertilizers; mineral or chemical, containing 2 or 3 of the elements nitrogen, phosphorus, potassium; other fertilisers; goods of chapter 31 in tablets or packages of gross weight not exceeding 10kg","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","14756","false","8","kg","14756","false","14756","false","14785","false","0","62897.175","62897.175","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","56","BEL","Belgium","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","7373862.706","7373862.706","4","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","203","CZE","Czechia","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","5810.888","5810.888","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","208","DNK","Denmark","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","8.342","8.342","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","251","FRA","France","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","519982.329","519982.329","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","450322.585","450322.585","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","300","GRC","Greece","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","1210358.039","1210358.039","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","372","IRL","Ireland","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","257724.23","257724.23","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","380","ITA","Italy","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","29825253.277","29825253.277","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","2541010.975","2541010.975","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","616","POL","Poland","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","370117.182","370117.182","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","620","PRT","Portugal","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","72529.387","72529.387","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","642","ROU","Romania","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","85118.137","85118.137","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","724","ESP","Spain","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","498630.324","498630.324","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","752","SWE","Sweden","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","0","8877.262","8877.262","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","56","BEL","Belgium","0","W00","World","H5","HS","true","7301","Iron or steel sheet piling, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","86500","false","21","1000 KG","86.5","false","86500","false","87364","false","0","45721.724","45721.724","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","56","BEL","Belgium","0","W00","World","H5","HS","true","7302","Railway or tramway track constructions of iron or steel; rails, check and track rails, switch blades, crossing frogs, point rods, sleepers, fish-plates, chair wedges, sole plates, bedplates, ties and the like","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","46000","false","21","1000 KG","46","false","46000","false","52000","false","0","54585.082","54585.082","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","251","FRA","France","0","W00","World","H5","HS","true","7302","Railway or tramway track constructions of iron or steel; rails, check and track rails, switch blades, crossing frogs, point rods, sleepers, fish-plates, chair wedges, sole plates, bedplates, ties and the like","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","100","false","21","1000 KG","0.1","false","100","false","106","false","0","5208.179","5208.179","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","7302","Railway or tramway track constructions of iron or steel; rails, check and track rails, switch blades, crossing frogs, point rods, sleepers, fish-plates, chair wedges, sole plates, bedplates, ties and the like","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4760","false","21","1000 KG","4.76","false","4760","false","5760","false","0","38099.235","38099.235","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","7302","Railway or tramway track constructions of iron or steel; rails, check and track rails, switch blades, crossing frogs, point rods, sleepers, fish-plates, chair wedges, sole plates, bedplates, ties and the like","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","100","false","21","1000 KG","0.1","false","100","false","14","false","0","13903.308","13903.308","0","false","true",
"C","A","20190101","2019","52","2019","36","AUS","Australia","X","Export","642","ROU","Romania","0","W00","World","H5","HS","true","7302","Railway or tramway track constructions of iron or steel; rails, check and track rails, switch blades, crossing frogs, point rods, sleepers, fish-plates, chair wedges, sole plates, bedplates, ties and the like","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","23000","false","21","1000 KG","23","false","23000","false","26000","false","0","24816.014","24816.014","0","false","true",
