"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20190101","2019","52","2019","360","IDN","Indonesia","X","Export","251","FRA","France","0","W00","World","H5","HS","true","252310","Cement clinkers (whether or not coloured)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","732","false","8","kg","732","false","732","false","0","false","0","1237.47","1237.47","0","true","false",
"C","A","20190101","2019","52","2019","360","IDN","Indonesia","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","252310","Cement clinkers (whether or not coloured)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","85","false","0","false","0","false","0","2305.26","2305.26","0","true","false",
"C","A","20190101","2019","52","2019","360","IDN","Indonesia","X","Export","616","POL","Poland","0","W00","World","H5","HS","true","252310","Cement clinkers (whether or not coloured)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","8","kg","100","false","0","false","0","false","0","5855","5855","0","true","false",
"C","A","20190101","2019","52","2019","410","KOR","Rep. of Korea","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","252321","Cement; portland, white, whether or not artificially coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false",,"1","1","0","true","false",
"C","A","20190101","2019","52","2019","360","IDN","Indonesia","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","252329","Cement; portland, other than white, whether or not artificially coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1.3","false","8","kg","1.3","false","1.3","false","0","false","0","1","1","0","true","false",
"C","A","20190101","2019","52","2019","410","KOR","Rep. of Korea","X","Export","251","FRA","France","0","W00","World","H5","HS","true","252329","Cement; portland, other than white, whether or not artificially coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13813.723","true","-1","N/A","0","false",,"true","0","false",,"600","600","6","true","false",
"C","A","20190101","2019","52","2019","410","KOR","Rep. of Korea","X","Export","380","ITA","Italy","0","W00","World","H5","HS","true","252329","Cement; portland, other than white, whether or not artificially coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","26","false","8","kg","26","false","26","false","0","false",,"32","32","0","true","false",
"C","A","20190101","2019","52","2019","410","KOR","Rep. of Korea","X","Export","380","ITA","Italy","0","W00","World","H5","HS","true","252390","Cement; hydraulic kinds n.e.c. in heading no. 2523","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","26","false","8","kg","26","false","26","false","0","false",,"16","16","0","true","false",
"C","A","20190101","2019","52","2019","410","KOR","Rep. of Korea","X","Export","616","POL","Poland","0","W00","World","H5","HS","true","252390","Cement; hydraulic kinds n.e.c. in heading no. 2523","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3800","false","8","kg","3800","false","3800","false","0","false",,"1000","1000","0","true","false",
"C","A","20190101","2019","52","2019","410","KOR","Rep. of Korea","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","280800","Nitric acid; sulphonitric acids","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","5","false","8","kg","5","false","5","false","0","false",,"27","27","0","true","false",
"C","A","20190101","2019","52","2019","410","KOR","Rep. of Korea","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","280800","Nitric acid; sulphonitric acids","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","0.2","false","8","kg","0.2","false","0.2","false","0","false",,"2","2","0","true","false",
"C","A","20190101","2019","52","2019","410","KOR","Rep. of Korea","X","Export","380","ITA","Italy","0","W00","World","H5","HS","true","3102","Fertilizers; mineral or chemical, nitrogenous","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7300000","false","8","kg","7300000","false","7300000","false","0","false",,"901550","901550","0","false","true",
"C","A","20190101","2019","52","2019","410","KOR","Rep. of Korea","X","Export","752","SWE","Sweden","0","W00","World","H5","HS","true","3102","Fertilizers; mineral or chemical, nitrogenous","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4.29","false","8","kg","4.29","false","4.29","false","0","false",,"1","1","0","false","true",
"C","A","20190101","2019","52","2019","360","IDN","Indonesia","X","Export","56","BEL","Belgium","0","W00","World","H5","HS","true","3105","Fertilizers; mineral or chemical, containing 2 or 3 of the elements nitrogen, phosphorus, potassium; other fertilisers; goods of chapter 31 in tablets or packages of gross weight not exceeding 10kg","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","42000","false","8","kg","42000","false","42000","false","0","false","0","12820","12820","0","false","true",
