Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,China,CHN,58.2183333333333
"Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,""Hong Kong SAR, China"",HKG,.."
Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,Vietnam,VNM,65.95875
Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,Japan,JPN,85.8091666666667
"Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,""Korea, Rep."",KOR,88.28375"
Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,Australia,AUS,88.2416666666667
Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,Indonesia,IDN,72.2025
Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,Philippines,PHL,75.7233333333333
Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,Malaysia,MYS,71.0504166666667
Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,New Zealand,NZL,85.26375
Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,Thailand,THA,76.1108333333333
Statistical performance indicators (SPI): Overall score (scale 0-100),IQ.SPI.OVRL,Singapore,SGP,75.0991666666667
