"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","252310","Cement clinkers (whether or not coloured)","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","750","false","21","1000 KG","0.75","false","750","false","0","false",,"198.642","198.642","0","true","false",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","252329","Cement; portland, other than white, whether or not artificially coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","200","false","21","1000 KG","0.2","false","200","false","0","false",,"12.461","12.461","0","true","false",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","252329","Cement; portland, other than white, whether or not artificially coloured","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","30","false","21","1000 KG","0.03","false","30","false","0","false",,"0.733","0.733","0","true","false",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","56","BEL","Belgium","0","W00","World","H5","HS","true","252390","Cement; hydraulic kinds n.e.c. in heading no. 2523","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","20","false","21","1000 KG","0.02","false","20","false","0","false",,"6.597","6.597","0","true","false",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","252390","Cement; hydraulic kinds n.e.c. in heading no. 2523","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","120","false","21","1000 KG","0.12","false","120","false","0","false",,"26087.397","26087.397","0","true","false",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","280800","Nitric acid; sulphonitric acids","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","true","8","kg","7.9","false",,"true","0","false",,"2843.299","2843.299","6","true","false",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","251","FRA","France","0","W00","World","H5","HS","true","3102","Fertilizers; mineral or chemical, nitrogenous","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","598.249","true","-1","N/A","0","false","598.249","true","0","false",,"253.617","253.617","6","false","true",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","3102","Fertilizers; mineral or chemical, nitrogenous","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","810","false","21","1000 KG","0.81","false","810","false","0","false",,"52319.195","52319.195","0","false","true",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","3105","Fertilizers; mineral or chemical, containing 2 or 3 of the elements nitrogen, phosphorus, potassium; other fertilisers; goods of chapter 31 in tablets or packages of gross weight not exceeding 10kg","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","111.589","true","-1","N/A","0","false","111.589","true","0","false",,"636.975","636.975","6","false","true",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","528","NLD","Netherlands","0","W00","World","H5","HS","true","3105","Fertilizers; mineral or chemical, containing 2 or 3 of the elements nitrogen, phosphorus, potassium; other fertilisers; goods of chapter 31 in tablets or packages of gross weight not exceeding 10kg","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1297.946","true","-1","N/A","0","false","1297.946","true","0","false",,"771.114","771.114","6","false","true",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","40","AUT","Austria","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"81964.564","81964.564","4","false","true",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","56","BEL","Belgium","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"432805.97","432805.97","4","false","true",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","203","CZE","Czechia","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"42461.105","42461.105","0","false","true",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","208","DNK","Denmark","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"967.557","967.557","4","false","true",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","246","FIN","Finland","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"22902.521","22902.521","0","false","true",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","251","FRA","France","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"134698.635","134698.635","4","false","true",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","276","DEU","Germany","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"4694775.638","4694775.638","4","false","true",
"C","A","20190101","2019","52","2019","702","SGP","Singapore","X","Export","300","GRC","Greece","0","W00","World","H5","HS","true","72","Iron and steel","2","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"772.58","772.58","4","false","true",
