Office,Office (Code),Origin,Type,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Australia,AUS,Total,Total,14061,15018,17158,17925,19818,22001,22735,22545,21594,22833,23857,26003,26840,26346,23681,24887,25526,26358,29717,25956,28605,28394,28906,29957,29758,29294,32409
China,CHN,Total,Total,18699,22742,24774,47396,50044,51906,63450,80232,105317,130384,173327,210501,245161,289838,314604,391177,526412,652777,825136,928177,1101864,1338503,1381594,1542002,1400661,1497159,1585663,
Indonesia,IDN,Total,Total,2874,3997,4018,1846,2936,3890,3926,3843,3300,3668,4304,4612,5134,5133,4518,5630,5830,,7450,8023,9153,9639,9303,9754,11481,8160,8800,
Japan,JPN,Total,Total,369215,376615,391572,401932,405655,436865,439175,421044,413093,423081,427078,408674,396291,391002,348596,344598,342610,342796,328436,325989,318721,318381,318481,313567,307969,288472,289200,
Malaysia,MYS,Total,Total,4052,5575,6451,5963,5842,6227,5934,4937,5062,5442,6286,4800,2372,5303,5737,6383,6452,6940,7205,7620,7727,7236,7072,7295,7551,6828,7534,
New Zealand,NZL,Total,Total,4719,7467,9831,5700,7961,7048,7275,6948,6873,6531,7005,7365,7844,5724,6358,6636,6209,7099,6781,7728,6501,6386,6160,6238,6014,5765,6852,
Philippines,PHL,Total,Total,2376,2797,3565,3443,3361,3636,2605,854,1873,2696,2972,3257,3473,3313,2997,3393,3196,2994,3285,3589,3734,3419,3395,4300,4380,3993,4393,
Korea,KOR,Total,Total,78499,90326,92684,75233,80642,102010,104612,106136,118651,140115,160921,166189,172469,170632,163523,170101,178924,188915,204589,210292,213694,208830,204775,209992,218975,226759,237998,
Singapore,SGP,Total,Total,2557,12581,6336,6678,7053,8236,8250,8199,7874,8585,8605,9163,9951,9692,8736,9773,9794,9685,9722,10312,10814,10980,10930,11845,14136,13265,14590,
Thailand,THA,Total,Total,3532,4558,5394,5071,5176,5049,5332,4489,5131,5373,6340,6261,6818,6741,5857,1937,3924,6746,7404,7930,8167,7820,7865,8149,8172,7525,8242,
Vietnam,VNM,Total,Total,682,966,1264,1105,1142,1239,1286,1211,1150,1431,1947,2166,2860,3199,2890,3582,3560,3805,3995,4447,5033,5228,5382,6071,7520,7695,8534,
